dt,aor_id,aor_name,emirate,dau,new_users,completed_orders,first_order_users
20260820,500000404,Arabian Ranches,Dubai Emirate,595,7,265,6
20260820,500000362,Barsha South - Arjan,Dubai Emirate,1321,12,689,8
20260820,500000424,Business Bay 1,Dubai Emirate,2218,46,1062,36
20260820,500000450,Business Bay 2,Dubai Emirate,1978,40,1031,40
20260820,500000386,Creek Harbor,Dubai Emirate,809,23,341,15
20260820,510260000,Damac Hills / Mudon,Dubai Emirate,788,17,444,13
20260820,500000367,Downtown,Dubai Emirate,1394,34,656,34
20260820,500000444,Mirdif,Dubai Emirate,2204,22,1050,20
20260820,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,2074,33,782,27
20260820,510040002,Naad Al Hamar,Dubai Emirate,1036,7,470,7
20260820,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,4624,58,2044,49
20260820,500001044,Al Rehmania Suburb,Sharjah Emirate,894,24,301,16
20260820,300000634,Muwaileh Commercial,Sharjah Emirate,3326,51,1118,40
